1;1;4.41;4.41;0;0;2.5;2.5;0;0;
1;1.05;4.8;4.45;0;0;2.62;2.5;0;0;
1;1.1;5.18;4.49;0;0;2.73;2.5;0;0;
1;1.15;5.56;4.49;0;0;2.83;2.5;0;0;
1;1.2;5.9;4.48;0;0;2.92;2.5;0;0;
1;1.25;6.27;4.45;0;0;3;2.5;0;0;
1;1.3;6.6;4.42;0;0;3.08;2.5;0;0;
1;1.35;6.93;4.37;0;0;3.15;2.5;0;0;
1;1.4;7.25;4.33;0;0;3.21;2.5;0;0;
1;1.45;7.55;4.3;0;0;3.28;2.5;0;0;
1;1.5;7.86;4.25;0;0;3.33;2.5;0;0;
1;1.55;8.12;4.2;0;0;3.39;2.5;0;0;
1;1.6;8.34;3.14;0;0;3.44;2.5;0;0;
1;1.65;8.62;4.07;0;0;3.48;2.5;0;0;
1;1.7;8.86;4;0;0;3.53;2.5;0;0;
1;1.75;9.06;3.96;0;0;3.57;2.5;0;0;
1;1.8;9.27;3.91;0;0;3.61;2.5;0;0;
1;1.85;9.45;3.83;0;0;3.65;2.5;0;0;
1;1.9;9.63;3.75;0;0;3.68;2.5;0;0;
1;1.95;9.77;3.71;0;0;3.72;2.5;0;0;
1;2;10;3.64;0;0;3.75;2.5;0;0;
1;99999;12.57;3.77;0;0;5;2.5;0;0;
2;1;3.07;3.94;0;8.52;1.83;3.94;0;4.33;
2;1.05;3.42;3.78;0;8.79;1.92;3.78;0;4.33;
2;1.1;3.77;3.9;0;9.18;2.01;3.9;0;4.33;
2;1.15;4.14;3.97;0;9.53;2.1;3.97;0;4.33;
2;1.2;4.51;4.05;0;9.88;2.2;4.05;0;4.33;
2;1.25;4.88;4.1;0;10.16;2.29;4.1;0;4.33;
2;1.3;5.25;4.15;0;10.41;2.38;4.15;0;4.33;
2;1.35;5.6;4.18;0;10.64;2.47;4.18;0;4.33;
2;1.4;5.95;4.21;0;10.86;2.56;4.21;0;4.33;
2;1.45;6.27;4.19;0;11.05;2.64;4.19;0;4.33;
2;1.5;6.6;4.18;0;11.23;2.72;4.18;0;4.33;
2;1.55;6.9;4.17;0;11.39;2.8;4.17;0;4.33;
2;1.6;7.21;4.14;0;11.55;2.87;4.14;0;4.33;
2;1.65;7.42;4.12;0;11.67;2.93;4.12;0;4.33;
2;1.7;7.62;4.09;0;11.79;2.99;4.09;0;4.33;
2;1.75;7.66;4.05;0;11.88;3.05;4.05;0;4.33;
2;1.8;7.69;3.99;0;11.96;3.1;3.99;0;4.33;
2;1.85;8.22;3.97;0;12.03;3.15;3.97;0;4.33;
2;1.9;8.74;3.94;0;12.14;3.2;3.94;0;4.33;
2;1.95;8.97;3.88;0;12.17;3.25;3.88;0;4.33;
2;2;9.18;3.8;0;12.2;3.29;3.8;0;4.33;
2;99999;9.18;3.8;0;12.2;5;3.8;0;4.33;
3;1;3.94;3.07;8.52;0;2.82;1.83;4.02;0;
3;1.05;4.19;2.84;8.91;0;2.38;1.83;4.13;0;
3;1.1;4.43;2.76;9.3;0;2.44;1.83;4.23;0;
3;1.15;4.64;2.68;9.63;0;2.5;1.83;4.32;0;
3;1.2;4.85;2.59;9.95;0;2.54;1.83;4.41;0;
3;1.25;5.03;2.51;10.22;0;2.59;1.83;4.48;0;
3;1.3;5.2;2.42;10.48;0;2.63;1.83;4.55;0;
3;1.35;5.36;2.34;10.71;0;2.67;1.83;4.62;0;
3;1.4;5.51;2.25;10.92;0;2.7;1.83;4.68;0;
3;1.45;5.64;2.19;11.1;0;2.74;1.83;4.74;0;
3;1.5;5.77;2.12;11.27;0;2.77;1.83;4.79;0;
3;1.55;5.87;2.04;11.42;0;2.8;1.83;4.84;0;
3;1.6;5.98;1.95;11.55;0;2.82;1.83;4.89;0;
3;1.65;6.07;1.87;11.67;0;2.85;1.83;4.93;0;
3;1.7;6.16;1.79;11.8;0;2.87;1.83;4.97;0;
3;1.75;6.24;1.74;11.92;0;2.89;1.83;5.01;0;
3;1.8;6.31;1.68;12.04;0;2.92;1.83;5.05;0;
3;1.85;6.38;1.64;12.14;0;2.94;1.83;5.09;0;
3;1.9;6.43;1.59;12.24;0;2.96;1.83;5.12;0;
3;1.95;6.47;1.54;12.29;0;2.97;1.83;5.15;0;
3;2;6.51;1.48;12.34;0;2.99;1.83;5.18;0;
3;99999;7.61;1.48;12.76;0;3.66;1.83;6.25;0;
4;1;2.81;2.81;6.99;6.99;1.83;1.83;3.17;3.17;
4;1.05;3.05;2.81;7.43;7.18;1.92;1.83;3.32;3.17;
4;1.1;3.3;2.81;7.87;7.36;2;1.83;3.46;3.17;
4;1.15;3.53;2.8;8.28;7.5;2.07;1.83;3.58;3.17;
4;1.2;3.76;2.79;8.69;7.63;2.14;1.83;3.7;3.17;
4;1.25;3.96;2.74;9.03;7.72;2.2;1.83;3.8;3.17;
4;1.3;4.16;2.69;9.37;7.81;2.25;1.83;3.9;3.17;
4;1.35;4.33;2.65;9.65;7.88;2.3;1.83;3.99;3.17;
4;1.4;4.51;2.6;9.93;7.94;2.35;1.83;4.08;3.17;
4;1.45;4.66;2.54;10.41;8;2.4;1.83;4.15;3.17;
4;1.5;4.81;2.47;10.62;8.06;2.44;1.83;4.23;3.17;
4;1.55;4.93;2.39;10.82;8.09;2.48;1.83;4.29;3.17;
4;1.6;5.06;2.31;10.99;8.12;2.52;1.83;4.36;3.17;
4;1.65;5.16;2.24;11.16;8.14;2.55;1.83;4.42;3.17;
4;1.7;5.27;2.16;11.3;8.15;2.58;1.83;4.48;3.17;
