1;0.5;0.099;0.99
1;0.6;0.086;0.85
1;0.7;0.073;0.71
1;0.8;0.061;0.59
1;0.9;0.051;0.48
1;1;0.042;0.4
2;0.5;0.091;0.91
2;0.6;0.075;0.73
2;0.7;0.06;0.58
2;0.8;0.048;0.46
2;0.9;0.037;0.35
2;1;0.03;0.28
3;0.5;0.06;0.48
3;0.6;0.056;0.44
3;0.7;0.051;0.41
3;0.8;0.046;0.36
3;0.9;0.04;0.31
3;1;0.036;0.28
4;0.5;0.057;0.46
4;0.6;0.052;0.41
4;0.7;0.045;0.36
4;0.8;0.039;0.3
4;0.9;0.033;0.25
4;1;0.027;0.21
5;0.5;0.084;0.83
5;0.6;0.065;0.63
5;0.7;0.049;0.48
5;0.8;0.037;0.35
5;0.9;0.027;0.26
5;1;0.02;0.19
6;0.5;0.042;0.25
6;0.6;0.041;0.25
6;0.7;0.039;0.24
6;0.8;0.037;0.23
6;0.9;0.034;0.21
6;1;0.031;0.19
7;0.5;0.055;0.44
7;0.6;0.048;0.38
7;0.7;0.04;0.32
7;0.8;0.033;0.25
7;0.9;0.026;0.2
7;1;0.021;0.16
8;0.5;0.042;0.24
8;0.6;0.04;0.24
8;0.7;0.037;0.23
8;0.8;0.033;0.2
8;0.9;0.029;0.18
8;1;0.026;0.16
9;0.5;0.041;0.25
9;0.6;0.038;0.23
9;0.7;0.034;0.21
9;0.8;0.029;0.18
9;0.9;0.025;0.15
9;1;0.021;0.13
